1	金币1	1	1	1	1	1	255
2	金创药(小量)	1	1	1	1	1	255
2	魔法药(小量)	1	1	1	1	1	255
1	肉	1	1	1	1	1	255
3	布衣(男)	1	1	1	1	1	255
3	布衣(女)	1	1	1	1	1	255
4	木剑	1	1	1	1	1	255
4	铁剑	1	1	1	1	1	255
4	青铜剑	1	1	1	1	1	255
3	轻型盔甲(男)	1	1	1	1	1	255
3	轻型盔甲(女)	1	1	1	1	1	255
2	干肉	1	1	1	1	1	255
2	包子	1	1	1	1	1	255
4	凝霜	1	1	1	1	1	255
1	火球术	1	1	1	1	1	255
1	治愈术	1	1	1	1	1	255
1	基本剑术	1	1	1	1	1	255
7	蜡烛	1	1	1	1	1	255
4	短剑	1	1	1	1	1	255
1	精神力战法	1	1	1	1	1	255
4	青铜斧	1	1	1	1	1	255
3	重盔甲(女)	1	1	1	1	1	255
3	魔法长袍(女)	1	1	1	1	1	255
3	灵魂战衣(女)	1	1	1	1	1	255
3	重盔甲(男)	1	1	1	1	1	255
3	魔法长袍(男)	1	1	1	1	1	255
3	灵魂战衣(男)	1	1	1	1	1	255
1	大火球	1	1	1	1	1	255
1	攻杀剑术	1	1	1	1	1	255
1	施毒术	1	1	1	1	1	255
4	匕首	1	1	1	1	1	255
4	井中月	1	1	1	1	1	255
4	银蛇	1	1	1	1	1	255
4	海魂	1	1	1	1	1	255
4	修罗	1	1	1	1	1	255
4	炼狱	1	1	1	1	1	255
4	凌风	1	1	1	1	1	255
4	破魂	1	1	1	1	1	255
4	斩马刀	1	1	1	1	1	255
1	食人树叶	1	1	1	1	1	255
1	毒蜘蛛牙齿	1	1	1	1	1	255
1	食人树的果实	1	1	1	1	1	255
1	蝎子的尾巴	1	1	1	1	1	255
1	蛆卵	1	1	1	1	1	255
2	灰色药粉(少量)	1	1	1	1	1	255
2	黄色药粉(少量)	1	1	1	1	1	255
5	古铜戒指	1	1	1	1	1	255
5	青铜头盔	1	1	1	1	1	255
5	金项链	1	1	1	1	1	255
5	铁手镯	1	1	1	1	1	255
2	灰色药粉(中量)	1	1	1	1	1	255
2	灰色药粉(大量)	1	1	1	1	1	255
2	黄色药粉(中量)	1	1	1	1	1	255
