1	8	天龙套装全	天龙神型夺命剑|天龙不死衣（男）|天龙不死衣（女）|天龙燕月神|天龙狂魔轮|天龙魂世环|天龙除魂帽|天龙神形步|天龙反向带	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	100|100|2|1|0|0|0|0|0|0|0|2|0|0|6|4|0|0|0|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	天龙套装生效,防御+2-6,魔御+1-4,生命+100,法力+100,毒物恢复+2
2	3	天龙套装首饰	天龙燕月神|天龙狂魔轮|天龙魂世环	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|2|2|2|0|0|0|0|0|0|0|0|0|6|6|6|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	天龙套装生效,攻魔道+2-6
3	3	天龙套装防具	天龙除魂帽|天龙神形步|天龙反向带	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|10|10|0|0|0|0|0|0|0|0|0|0|10|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	天龙套装生效,防御和魔御+10%
4	2	天龙套装攻击	天龙神型夺命剑|天龙不死衣（男）|天龙不死衣（女）	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|10|10|10|0|0|0|0|0|0|0|0|0|10|10|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	天龙套装生效,攻魔道+10%
5	2	世轮套装	世轮手镯|世轮指环	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	50|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	世轮套装生效,生命上限+50
6	2	绿翠套装	绿翠手镯|绿翠指环	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|50|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	世轮套装生效,法力上限+50
7	2	灵符套装	灵符手镯|灵符戒指	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	30|30|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	灵符套装生效,生命与法力上限+30
8	5	祈祷套装	祈祷之刃|祈祷手镯|祈祷项链|祈祷戒指|祈祷头盔	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|30|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|5|0|0|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	祈祷套装生效,攻击+2-5,法力上限+30%
9	3	五玄套装	五玄项链|五玄手镯|五玄戒指	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	30|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|2|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|0|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	五玄套装生效,防御+2-2,生命上限+30%
10	3	破碎套装	破碎项链|破碎手镯|破碎戒指	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|3|0|0|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	破碎套装生效,攻击+1-3
11	3	幻魔石套装	幻魔石项链|幻魔石手镯|幻魔石戒指	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|2|0|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	幻魔石套装生效,魔法+1-2
12	3	灵玉套装	灵玉项链|灵玉手镯|灵玉戒指	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|2|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	灵玉套装生效,道术+1-2
13	2	幻魔石套装	幻魔石手镯|幻魔石戒指	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	幻魔石套装生效,魔法+0-1
14	2	灵玉套装	灵玉手镯|灵玉戒指	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	灵玉套装生效,道术+0-3
